2016/04/25,2016/04/26,3.0,38,38
2016/04/20,2016/04/24,3.0,50,39
2016/04/17,2016/04/20,3.1,46,43
2016/04/11,2016/04/13,3.0,48,41
2016/04/10,2016/04/14,3.1,50,39
2016/04/08,2016/04/12,3.0,50,40
2016/03/29,2016/03/31,3.0,50,41
2016/03/28,2016/04/02,3.5,47,35
2016/03/24,2016/03/26,3.0,48,41
2016/03/20,2016/03/22,3.0,49,38
2016/03/19,2016/03/22,3.4,54,36
2016/03/16,2016/03/21,2.6,46,40
2016/03/17,2016/03/20,4.0,50,40
2016/03/17,2016/03/20,3.0,53,41
2016/03/17,2016/03/20,3.4,48,38
2016/03/03,2016/03/06,4.0,50,41
2016/03/03,2016/03/06,2.8,51,38
2016/02/29,2016/03/01,3.0,41,36
2016/02/24,2016/02/27,3.0,52,44
2016/02/15,2016/02/17,3.0,47,42
2016/02/11,2016/02/15,3.0,43,45
2016/02/10,2016/02/15,2.7,44,43
2016/02/02,2016/02/04,2.9,46,41
2016/02/02,2016/02/03,2.8,47,40
2016/01/09,2016/01/13,3.5,51,41
2016/01/04,2016/01/07,3.0,44,47
2015/12/22,2015/12/23,3.0,37,36
2015/12/17,2015/12/21,3.0,49,47
2015/12/16,2015/12/20,2.9,47,40
2015/12/16,2015/12/17,3.0,49,38
2015/12/16,2015/12/17,2.8,46,43
2015/12/10,2015/12/13,4.0,50,44
2015/12/06,2015/12/09,3.4,50,40
2015/12/02,2015/12/06,3.0,48,44
2015/11/27,2015/12/01,3.0,49,46
2015/11/23,2015/11/30,2.6,47,41
2015/11/15,2015/12/02,2.0,52,41
2015/11/16,2015/11/19,4.0,41,46
2015/11/16,2015/11/17,2.7,45,44
2015/10/29,2015/11/04,4.2,56,41
2015/10/29,2015/11/02,2.9,46,43
2015/10/25,2015/10/29,3.4,50,42
2015/10/14,2015/10/17,3.0,50,45
2015/10/10,2015/10/12,3.0,40,45
2015/10/01,2015/10/04,2.7,44,44
2015/09/20,2015/09/24,--,49,39
2015/09/20,2015/09/22,3.0,46,42
2015/09/17,2015/09/21,2.5,45,43
2015/09/07,2015/09/10,4.0,46,43
2015/09/04,2015/09/08,3.0,48,48
2015/08/26,2015/09/09,2.9,53,40
2015/09/02,2015/09/03,3.3,40,45
2015/08/28,2015/08/30,2.8,46,44
2015/08/20,2015/08/25,2.5,45,41
2015/08/13,2015/08/16,3.5,51,45
2015/08/11,2015/08/13,3.0,47,42
2015/07/23,2015/07/28,2.4,48,36
2015/07/22,2015/07/28,3.2,54,38
2015/07/22,2015/07/25,3.5,56,40
2015/07/20,2015/07/21,3.0,50,37
2015/07/09,2015/07/12,3.0,51,34
2015/06/26,2015/06/28,3.5,59,35
2015/06/21,2015/06/23,3.0,51,34
2015/05/19,2015/05/26,2.4,50,32
